"Domain","Available","Premium","Price"
"nikkei.com","taken","",""
"rugbyworldcup.com","taken","",""
"eikichiyazawa.com","taken","",""
"sonysonpo.co.jp","taken","",""
"diesel.co.jp","taken","",""
"official-movie.com","taken","",""
"zola.com","taken","",""
"go.ke","taken","",""
"who.int","taken","",""
"odfl.org","taken","",""
"gcs-web.com","taken","",""
"citizentv.co.ke","taken","",""
"nandos.com.au","taken","",""
"raizen.com.br","taken","",""
"shouman.jp","taken","",""
"vincenttremeau.com","taken","",""
"photoville.com","taken","",""
"treasuretrails.co.uk","taken","",""
"funattic.com","taken","",""
"carnivalsavers.com","taken","",""
"nelliebellie.com","taken","",""
"handsonaswegrow.com","taken","",""
"babbledabbledo.com","taken","",""
"comicborder.com","taken","",""
"shinchosha.co.jp","taken","",""
"dcs.co.jp","taken","",""
"mitsubachi-enrai-movie.jp","taken","",""
"nansei-m.co.jp","taken","",""
"oita.jp","available","",""
"osaka-u.ac.jp","taken","",""
"tattoo-friendly.jp","taken","",""
"broadsheet.com.au","taken","",""
"simplemost.com","taken","",""
"mastercard.com","taken","",""
"thehenryford.org","taken","",""
"detroithistorical.org","taken","",""
"lloydsbank.com","taken","",""
"minatoya.biz","taken","",""
"toikinzan.com","taken","",""
"credicard.com.br","taken","",""
"mastercard.co.uk","taken","",""
"spectator.co.uk","taken","",""
"uky.edu","taken","",""
